id,title,slug,description,url,domain,workload
q78TEOYSEe6s9Qr_2Qjvdw,Introduction to Time Series,illinois-tech-introduction-to-time-series,,https://www.coursera.org/learn/illinois-tech-introduction-to-time-series,,
La_Ygsi4Ee2IVhKU3LV62Q,Social Media & Marketing - Jagdish Sheth,social-media--marketing,,https://www.coursera.org/learn/social-media--marketing,,
yPN1NqkyEeyxDg4ukgkVlw,Block.one: Creating a Multi Node EOSIO Blockchain,googlecloud-block-one-creating-a-multi-node-eosio-blockchain-ebepp,,https://www.coursera.org/learn/googlecloud-block-one-creating-a-multi-node-eosio-blockchain-ebepp,,
9730tv4HEey67Q5PadiO8Q,Asian American History and Identity: An Anti-Racism Toolkit,asian-american-history-identity-antiracism-toolkit,,https://www.coursera.org/learn/asian-american-history-identity-antiracism-toolkit,,
t8YjeNo9Ee6lEg6XAETioQ,"Human Excellence in the AI Age, Part 1: A Soft Skills Course",humanexcellenceintheaiagepart1,,https://www.coursera.org/learn/humanexcellenceintheaiagepart1,,
KtbE7Q5BEeamsw7MRtVHjQ,Gestión del talento humano,gestion-del-talento,,https://www.coursera.org/learn/gestion-del-talento,,
gtWCUndoEfC1jRJm2R_Okw,Build Fast Websites with Astro,build-fast-websites-with-astro,,https://www.coursera.org/learn/build-fast-websites-with-astro,,
2kDPTz8cEfCseQ7q_2K0iw,Exporting and Integrating Assets into Unreal Engine 5,packt-9781835460429-o9mbp,,https://www.coursera.org/learn/packt-9781835460429-o9mbp,,
nv6lfk2gEfCqjwr_1EnQcQ,Looker Studio Essentials,looker-studio-essentials,,https://www.coursera.org/learn/looker-studio-essentials,,
D0ARB6kqEeywagovoAKHOQ,App Dev: Deploying the Application into Kubernetes Engine - Python,googlecloud-app-dev-deploying-the-application-into-kubernetes-engine-pytho-emnhx,,https://www.coursera.org/learn/googlecloud-app-dev-deploying-the-application-into-kubernetes-engine-pytho-emnhx,,
Mxi2ziJqEe-qLxJFbw2Hbw,Tunnel Construction Practices ,tunnel-construction-practices,,https://www.coursera.org/learn/tunnel-construction-practices,,
QMuoyaNNEeuXVhK5NJR77w,Crea Videos para Redes Sociales con Canva,crea-videos-redes-sociales-canva,,https://www.coursera.org/learn/crea-videos-redes-sociales-canva,,
9fPuY_DiEemQmRLkaCDi9A,U.S. Health Law Fundamentals,health-law-fundamentals,,https://www.coursera.org/learn/health-law-fundamentals,,
NQNtXt1vEe-L_Q47HwVgtw,Biotech — From Science to Business,biotech-from-science-to-business,,https://www.coursera.org/learn/biotech-from-science-to-business,,
EG0zX1veEemnlhJQeL1nOg,Data Processing and Feature Engineering with MATLAB,feature-engineering-matlab,,https://www.coursera.org/learn/feature-engineering-matlab,,
MTyEaZTjEe2Yhwq-FZC-ww,Developing Applications with Cloud Run Functions on Google Cloud,developing-applications-with-cloud-functions-on-google-cloud,,https://www.coursera.org/learn/developing-applications-with-cloud-functions-on-google-cloud,,
4TVRYKfAEeyjPxJkzIUqCw,Validating Your Startup Idea with MVP Experiment Canvas,validating-your-startup-idea-with-mvp-experiment-canvas,,https://www.coursera.org/learn/validating-your-startup-idea-with-mvp-experiment-canvas,,
u6UHXOzUEe2_1Q54ZEzvJQ,Designing Learning Innovation: an introduction,designing-learning-innovation-intro,,https://www.coursera.org/learn/designing-learning-innovation-intro,,
wWmv2BEhEeWvmQrN_lODCw,Arts and Culture Strategy,arts-culture-strategy,,https://www.coursera.org/learn/arts-culture-strategy,,
q1Ra1sT_Ee2RmxI1rLBuxQ,HTML for Beginners: Tables and Forms,html-for-beginners-tables-and-forms,,https://www.coursera.org/learn/html-for-beginners-tables-and-forms,,
BDi_LU5lEea1YwoX0DxdQQ,Quantitative Foundations for International Business,quantitative-foundations-international-business,,https://www.coursera.org/learn/quantitative-foundations-international-business,,
0A7WBYfuEemoiA62n0CmxA,"Sequences, Time Series and Prediction",tensorflow-sequences-time-series-and-prediction,,https://www.coursera.org/learn/tensorflow-sequences-time-series-and-prediction,,
iirVuYm9EeydXg7vfsduMQ,Computing for Cancer Informatics,computing-for-cancer-informatics,,https://www.coursera.org/learn/computing-for-cancer-informatics,,
f86BkPTXEe6b_Ar_9IRNEQ,OpenAI GPTs: Creating Your Own Custom AI Assistants,openai-custom-gpts,,https://www.coursera.org/learn/openai-custom-gpts,,
Wq-KbrfTEe633hLyyfBA1Q,Python Generators,python-generators,,https://www.coursera.org/learn/python-generators,,
ujj_dLNdEeuUgRLoWReItw,Hypothesis Testing with Python and Excel,hypothesis-testing-python-excel,,https://www.coursera.org/learn/hypothesis-testing-python-excel,,
m2opkiYnEe6JJAruShrzEQ,Introduction to Image Generation - 简体中文,introduction-to-image-generation-zh,,https://www.coursera.org/learn/introduction-to-image-generation-zh,,
G2HVmPBeEeqbbw43Rl71vQ,Getting Started with Adobe Spark,getting-started-with-adobe-spark,,https://www.coursera.org/learn/getting-started-with-adobe-spark,,
mIsfVwUvEe636QqHDflziQ,Model Diagnostics and Remedial Measures,illinois-tech-model-diagnostics-and-remedial-measures,,https://www.coursera.org/learn/illinois-tech-model-diagnostics-and-remedial-measures,,
VWV2zdk7Eees4xJCvDoPAg,The Neuromarketing Toolbox,neuromarketing-toolbox,,https://www.coursera.org/learn/neuromarketing-toolbox,,
7uGztWmBEe2WbhJ1ZbyWCw,Wireframes in Miro: Exploring New Ideas,wireframes-in-miro-exploring-new-ideas,,https://www.coursera.org/learn/wireframes-in-miro-exploring-new-ideas,,
